event name,label,x,y,width,height,confidence,length_in_sec,real_begins_in_sec,real_begins_in_time,picture_ends_in,date
event20210226_225302_756,krátka bez headecha,0.26601,0.673534,0.0164204,0.0253566,"0.615847
",0.5935,9.3175,22:52:36:317,22:53:02,26.02.2021
event20210226_225439_760,krátka bez headecha,0.364943,0.679873,0.0139573,0.0380349,"0.476959
",0.5045,12.9377,22:54:16:937,22:54:39,26.02.2021
event20210226_225705_763,krátka s headechom,0.805419,0.671157,0.0328407,0.0649762,"0.299961
",1.1869,28.5163,22:56:58:516,22:57:05,26.02.2021
event20210226_225705_763,dlhá s headechom,0.80624,0.672742,0.0311987,0.0618067,"0.278356
",1.1276,28.5757,22:56:58:575,22:57:05,26.02.2021
event20210226_225721_764,krátka s headechom,0.374795,0.671949,0.0336617,0.0633914,"0.273351
",1.2166,12.9377,22:56:58:937,22:57:21,26.02.2021
event20210226_225730_765,dlhá s headechom,0.121511,0.673534,0.0328407,0.0602219,"0.303419
",1.1869,3.7982,22:56:58:798,22:57:30,26.02.2021
event20210226_225810_766,krátka bez headecha,0.32225,0.698098,0.0139573,0.0332805,"0.534739
",0.5045,11.3947,22:57:46:394,22:58:10,26.02.2021
event20210226_225810_766,krátka s headechom,0.862069,0.671157,0.0164204,0.0618067,"0.483482
",0.5935,30.8605,22:58:05:860,22:58:10,26.02.2021
event20210226_225814_767,krátka bez headecha,0.219622,0.698098,0.0139573,0.0301109,"0.562609
",0.5045,7.6854,22:57:46:685,22:58:14,26.02.2021
event20210226_225814_767,krátka s headechom,0.759442,0.670364,0.0147783,0.0602219,"0.549405
",0.5341,27.181,22:58:06:181,22:58:14,26.02.2021
event20210226_225829_768,krátka s headechom,0.356732,0.670364,0.0155993,0.0602219,"0.580141
",0.5638,12.6113,22:58:06:611,22:58:29,26.02.2021
event20210226_225902_769,krátka bez headecha,0.334565,0.59271,0.0188834,0.0285261,"0.388555
",0.6825,11.7507,22:58:38:750,22:59:02,26.02.2021
event20210226_225902_769,krátka bez headecha,0.568965,0.667987,0.0164204,0.0301109,"0.506357
",0.5935,20.267,22:58:47:267,22:59:02,26.02.2021
event20210226_225905_770,krátka bez headecha,0.249589,0.59271,0.0180624,0.0253566,"0.425905
",0.6528,8.6943,22:58:38:694,22:59:05,26.02.2021
event20210226_225905_770,krátka bez headecha,0.48399,0.66878,0.0155993,0.0316957,"0.492134
",0.5638,17.2107,22:58:47:210,22:59:05,26.02.2021
event20210226_230023_772,krátka bez headecha,0.356732,0.663233,0.0123153,0.0269414,"0.564366
",0.4451,12.6706,23:00:00:670,23:00:23,26.02.2021
event20210226_230207_776,krátka s headechom,0.356322,0.677496,0.0164204,0.0427892,"0.313269
",0.5935,12.5816,23:01:44:581,23:02:07,26.02.2021
event20210226_230207_776,krátka bez headecha,0.356322,0.677496,0.0180624,0.0427892,"0.380692
",0.6528,12.5519,23:01:44:551,23:02:07,26.02.2021
event20210226_230207_776,krátka bez headecha,0.587438,0.675119,0.0155993,0.0348653,"0.496597
",0.5638,20.9495,23:01:52:949,23:02:07,26.02.2021
event20210226_230215_777,krátka bez headecha,0.130952,0.676704,0.0172414,0.0412044,"0.383692
",0.6231,4.4214,23:01:44:421,23:02:15,26.02.2021
event20210226_230215_777,krátka s headechom,0.131363,0.676704,0.0164204,0.0412044,"0.287102
",0.5935,4.451,23:01:44:451,23:02:15,26.02.2021
event20210226_230215_777,krátka bez headecha,0.362479,0.675119,0.0155993,0.0348653,"0.564638
",0.5638,12.819,23:01:52:819,23:02:15,26.02.2021
event20210226_230249_778,krátka s headechom,0.362479,0.654517,0.0188834,0.107765,"0.550233
",0.6825,12.7596,23:02:26:759,23:02:49,26.02.2021
event20210226_230806_785,krátka s headechom,0.35509,0.673534,0.0221675,0.0697306,"0.46231
",0.8012,12.4332,23:07:43:433,23:08:06,26.02.2021
event20210226_230933_786,krátka bez headecha,0.362479,0.677496,0.0205255,0.0459588,"0.428219
",0.7418,12.73,23:09:10:73,23:09:33,26.02.2021
event20210226_231105_787,krátka s headechom,0.356732,0.678288,0.0221675,0.0538827,"0.505333
",0.8012,12.4926,23:10:42:492,23:11:05,26.02.2021
event20210226_232246_794,krátka bez headecha,0.370279,0.673534,0.0180624,0.0348653,"0.43272
",0.6528,13.0564,23:22:24:056,23:22:46,26.02.2021
event20210226_232414_796,krátka bez headecha,0.688424,0.671157,0.0155993,0.0364501,"0.310372
",0.5638,24.5994,23:24:03:599,23:24:14,26.02.2021
event20210226_232648_797,krátka bez headecha,0.0784072,0.674326,0.0123153,0.0396197,"0.301798
",0.4451,2.6113,23:26:15:611,23:26:48,26.02.2021
event20210226_232648_797,krátka s headechom,0.0784072,0.673534,0.0139573,0.044374,"0.324725
",0.5045,2.5816,23:26:15:581,23:26:48,26.02.2021
event20210226_232648_797,dlhá bez headecha,0.92775,0.664025,0.0509031,0.0475436,"0.451001
",1.8398,32.6113,23:26:45:611,23:26:48,26.02.2021
event20210226_232709_798,dlhá bez headecha,0.375205,0.661648,0.0492611,0.0427892,"0.49691
",1.7804,12.6706,23:26:46:670,23:27:09,26.02.2021
event20210226_232718_799,dlhá bez headecha,0.112069,0.662441,0.0484401,0.0412044,"0.450589
",1.7507,3.1751,23:26:46:175,23:27:18,26.02.2021
event20210226_232718_799,krátka bez headecha,0.354269,0.679873,0.0123153,0.0253566,"0.30571
",0.4451,12.5816,23:26:55:581,23:27:18,26.02.2021
event20210226_232718_799,krátka bez headecha,0.828818,0.68225,0.0139573,0.0332805,"0.41776
",0.5045,29.7033,23:27:12:703,23:27:18,26.02.2021
event20210226_233103_804,krátka bez headecha,0.573071,0.689382,0.0164204,0.0507132,"0.31367
",0.5935,20.4154,23:30:48:415,23:31:03,26.02.2021
event20210226_233103_804,krátka s headechom,0.573481,0.687797,0.0172414,0.0507132,"0.399729
",0.6231,20.4154,23:30:48:415,23:31:03,26.02.2021
event20210226_233654_813,krátka s headechom,0.355501,0.618859,0.0213465,0.236133,"0.361189
",0.7715,12.4629,23:36:31:462,23:36:54,26.02.2021
event20210226_233654_813,krátka bez headecha,0.837438,0.66561,0.0131363,0.0348653,"0.337379
",0.4748,30.0297,23:36:49:029,23:36:54,26.02.2021
event20210226_233803_814,krátka bez headecha,0.370279,0.655309,0.0180624,0.0364501,"0.61341
",0.6528,13.0564,23:37:41:056,23:38:03,26.02.2021
event20210226_234016_816,krátka s headechom,0.366174,0.652932,0.0164204,0.0792393,"0.549552
",0.5935,12.9377,23:39:53:937,23:40:16,26.02.2021
event20210226_234152_817,krátka s headechom,0.357964,0.686212,0.0180624,0.088748,"0.56608
",0.6528,12.6113,23:41:29:611,23:41:52,26.02.2021
event20210226_234152_817,krátka bez headecha,0.601806,0.666403,0.0147783,0.0427892,"0.311074
",0.5341,21.4837,23:41:38:483,23:41:52,26.02.2021
event20210226_234152_817,krátka bez headecha,0.924466,0.660856,0.0147783,0.0380349,"0.510991
",0.5341,33.1454,23:41:50:145,23:41:52,26.02.2021
event20210226_234201_818,krátka s headechom,0.124384,0.683835,0.0172414,0.0871632,"0.515951
",0.6231,4.184,23:41:30:184,23:42:01,26.02.2021
event20210226_234201_818,krátka bez headecha,0.366995,0.667987,0.0131363,0.0332805,"0.55025
",0.4748,13.0267,23:41:39:026,23:42:01,26.02.2021
event20210226_234201_818,krátka bez headecha,0.690066,0.660063,0.0139573,0.0396197,"0.409793
",0.5045,24.6884,23:41:50:688,23:42:01,26.02.2021
event20210226_234208_819,krátka bez headecha,0.170361,0.667987,0.0123153,0.0332805,"0.504522
",0.4451,5.9347,23:41:38:934,23:42:08,26.02.2021
event20210226_234208_819,krátka bez headecha,0.492611,0.659271,0.0147783,0.0380349,"0.384541
",0.5341,17.5371,23:41:50:537,23:42:08,26.02.2021
event20210226_234311_820,krátka bez headecha,0.355501,0.666403,0.0131363,0.0269414,"0.579463
",0.4748,12.6113,23:42:48:611,23:43:11,26.02.2021
event20210226_234346_821,krátka bez headecha,0.355501,0.675119,0.0131363,0.0316957,"0.535904
",0.4748,12.6113,23:43:23:611,23:43:46,26.02.2021
event20210226_235057_827,krátka s headechom,0.376437,0.670364,0.0320197,0.177496,"0.303648
",1.1573,13.0267,23:50:35:026,23:50:57,26.02.2021
event20210226_235125_828,krátka s headechom,0.355911,0.690967,0.0139573,0.0507132,"0.49412
",0.5045,12.6113,23:51:02:611,23:51:25,26.02.2021
event20210226_235125_828,krátka bez headecha,0.776683,0.686212,0.0131363,0.0316957,"0.544164
",0.4748,27.8338,23:51:17:833,23:51:25,26.02.2021
event20210226_235141_829,krátka bez headecha,0.353859,0.686212,0.0131363,0.0316957,"0.567455
",0.4748,12.5519,23:51:18:551,23:51:41,26.02.2021
event20210226_235508_832,krátka s headechom,0.946223,0.689382,0.0139573,0.0570523,"0.46817
",0.5045,33.9466,23:55:06:946,23:55:08,26.02.2021
event20210226_235530_833,krátka s headechom,0.365353,0.68859,0.0147783,0.0586371,"0.515507
",0.5341,12.9377,23:55:07:937,23:55:30,26.02.2021
event20210226_235602_834,krátka bez headecha,0.364532,0.681458,0.0147783,0.0285261,"0.556798
",0.5341,12.908,23:55:39:908,23:56:02,26.02.2021
event20210226_235602_834,krátka bez headecha,0.91954,0.675911,0.0180624,0.0396197,"0.40684
",0.6528,32.908,23:55:59:908,23:56:02,26.02.2021
event20210226_235617_835,krátka bez headecha,0.479475,0.675911,0.0180624,0.0364501,"0.488775
",0.6528,17.003,23:55:59:003,23:56:17,26.02.2021
event20210226_235617_835,krátka bez headecha,0.91954,0.66878,0.0131363,0.0285261,"0.365501
",0.4748,32.997,23:56:14:997,23:56:17,26.02.2021
